unit,song,artist,gender_of_artist,race_of_lead_artist,length_of_song,current_age,beat_of_song,year_of_song,lyrical_theme,single_or_album,level_of_formality,language_of_song,monthly_listeners,artist_count,explicit_or_clean,awards_won,number_of_songwriters,repetition_of_chorus,number_of_vocalists,number_of_instruments,has_song_been_number_1,does_it_have_music_video,certification_of_song,tempo_of_song,has_song_been_sampled,virality_score_of_song
S057,All Too Well,Taylor Swift,1,2,5.29,35,3,2015,5,1,2,1,266452239,1,2,1,3,5,2,6,1,1,3,1,1,9
S058,Adorn,Miguel,2,1,3.15,39,1,2015,4,2,2,1,547292430,1,2,1,3,4,1,5,2,1,4,3,2,7
S059,★,David Bowie,2,2,3.13,78,2,2011,2,1,2,1,32873983,1,2,1,3,4,1,5,2,1,4,3,2,7
S060,March Madness,Future ,2,1,4.25,41,1,2011,1,1,4,1,208637074,1,3,2,2,3,1,4,2,1,4,3,2,6
S061,California,EMA,1,2,4.2,41,1,2014,3,1,2,1,1823385,1,2,2,2,3,1,4,2,1,4,3,2,6
S062,We Found Love,Rihanna (ft. Calvin Harris),3,1,3.35,37,1,2017,1,1,3,1,2232496983,2,3,1,2,4,2,5,1,1,3,1,1,9
S063,Hot N****,Bobby Shmurda ,2,1,2.48,31,1,2013,4,1,4,1,544783655,1,1,2,3,3,1,4,2,1,4,3,2,6
S064,Motion Sickness,Phoebe Bridhers,1,2,3.34,30,2,2010,2,1,2,1,521068432,1,2,2,2,3,1,4,2,1,4,3,2,6
S065,Worst Behavior ,Drake     ,2,1,5.3,39,1,2011,2,1,1,1,16600000,1,3,2,2,3,1,4,2,1,4,3,2,6
S066,Out Getting Ribs,King Krule ,2,2,3.11,31,2,2017,2,2,2,1,1600000,1,2,2,2,3,1,4,2,1,4,3,2,6
S067,Slow Burn,Kacey Musgraves,1,2,4.2,37,2,,2,2,1,1,15200000,2,2,2,2,3,1,4,2,1,4,3,2,6
S068,Two Weeks,FKA twigs,1,4,4:15,37,3,2014,1,1,1,1,53700000,1,1,1,2,3,1,4,2,1,4,3,2,6
S069,Cant Do Without You,Caribou,2,6,3:57,47,3,2014,1,1,4,1,49400000,1,2,2,1,3,1,6,2,1,4,3,2,5
S070,Zebra,Beach House,3,6,4:49,44,2,2010,5,2,2,1,497400,1,2,2,2,3,1,5,2,1,4,3,2,5
S071,Someone Like You,Adele,1,2,4:45,37,2,2011,1,1,2,1,5000000,2,2,1,2,3,1,2,1,1,3,2,2,10
S072,Yonkers,Tyler The Creator ,2,1,3:06,34,2,2011,2,1,2,1,947500,1,1,2,1,1,1,3,2,1,1,2,1,7
S073,Queen,Perfume Genious,2,1,3:58,44,2,2014,2,1,2,1,3700000,5,1,2,1,3,1,4,2,1,4,2,2,4
S074,Where Are you Now,Jack U (ft. Justin Bieber) ,3,6,4:12,36,1,2015,1,1,2,1,61800000,6,3,1,5,4,2,6,2,1,1,1,2,9
S075,Pick Up,DJ Koze,2,6,6:00,53,3,2018,1,1,3,1,17400000,1,2,2,1,2,1,5,2,2,4,3,2,4
